task,component,pb_effect,pb_ci_low,pb_ci_high,pb_padj,loo_effect,spearman_r,spearman_p
gsm8k,system_role,0.0050,-0.0234,0.0334,0.3037,0.0050,0.4857,0.3287
gsm8k,persona,-0.0025,-0.0273,0.0223,0.1175,0.0100,0.4857,0.3287
gsm8k,few_shot,0.0250,-0.0065,0.0565,0.0878,0.0250,0.4857,0.3287
gsm8k,cot_trigger,-0.0150,-0.0306,0.0006,0.4239,0.0200,0.4857,0.3287
gsm8k,output_format,0.0275,-0.0037,0.0587,0.0632,0.0350,0.4857,0.3287
gsm8k,constraints,-0.0200,-0.0463,0.0063,0.0371,0.0150,0.4857,0.3287
bbh_date,system_role,0.0325,0.0041,0.0609,0.0707,0.0150,0.2319,0.6584
bbh_date,persona,-0.0650,-0.0898,-0.0402,0.0132,-0.0100,0.2319,0.6584
bbh_date,few_shot,0.0450,0.0135,0.0765,0.0127,0.0550,0.2319,0.6584
bbh_date,cot_trigger,-0.0125,-0.0281,0.0031,0.2303,0.0250,0.2319,0.6584
bbh_date,output_format,0.0575,0.0263,0.0887,0.0098,0.0100,0.2319,0.6584
bbh_date,constraints,-0.0100,-0.0363,0.0163,0.4496,0.0150,0.2319,0.6584
mmlu_pro,system_role,0.0338,0.0053,0.0622,0.0972,-0.0050,0.5429,0.2657
mmlu_pro,persona,-0.0963,-0.1210,-0.0715,0.0199,-0.0500,0.5429,0.2657
mmlu_pro,few_shot,0.0363,0.0047,0.0678,0.0256,0.0550,0.5429,0.2657
mmlu_pro,cot_trigger,-0.0013,-0.0169,0.0144,0.7240,0.0300,0.5429,0.2657
mmlu_pro,output_format,0.0612,0.0301,0.0924,0.0105,0.0150,0.5429,0.2657
mmlu_pro,constraints,0.0162,-0.0101,0.0426,0.1647,-0.0100,0.5429,0.2657
