task,component,pb_effect,pb_ci_low,pb_ci_high,pb_pvalue_adj,loo_effect,spearman_r,spearman_p
gsm8k,system_role,+0.0187,+0.0187,+0.0195,0.0000,-0.0150,0.4638,0.3542
gsm8k,persona,-0.0312,-0.0318,-0.0309,0.0000,-0.0050,,
gsm8k,few_shot,+0.0288,+0.0280,+0.0290,0.0000,-0.0250,,
gsm8k,cot_trigger,-0.0137,-0.0141,-0.0133,0.0000,+0.0000,,
gsm8k,output_format,+0.0463,+0.0455,+0.0465,0.0000,+0.0150,,
gsm8k,constraints,-0.0438,-0.0442,-0.0432,0.0000,-0.0150,,
bbh_date,system_role,+0.0975,+0.0968,+0.0980,0.0000,+0.0050,0.2648,0.6121
bbh_date,persona,-0.0925,-0.0930,-0.0918,0.0000,-0.0050,,
bbh_date,few_shot,+0.1550,+0.1540,+0.1554,0.0000,+0.0500,,
bbh_date,cot_trigger,-0.0700,-0.0707,-0.0694,0.0000,+0.0150,,
bbh_date,output_format,+0.0925,+0.0917,+0.0932,0.0000,+0.0200,,
bbh_date,constraints,-0.0825,-0.0834,-0.0819,0.0000,-0.0200,,
mmlu_pro,system_role,+0.0075,+0.0068,+0.0079,0.0000,+0.0200,0.3143,0.5441
mmlu_pro,persona,-0.0750,-0.0754,-0.0741,0.0000,+0.0000,,
mmlu_pro,few_shot,+0.0325,+0.0315,+0.0329,0.0000,+0.0700,,
mmlu_pro,cot_trigger,+0.0100,+0.0094,+0.0105,0.0000,+0.0100,,
mmlu_pro,output_format,+0.0775,+0.0769,+0.0781,0.0000,+0.0750,,
mmlu_pro,constraints,+0.0400,+0.0391,+0.0404,0.0100,+0.0350,,
